organisationunitid,organisationunitname,organisationunitcode,2018-12-31 00:00:00,2019-12-31 00:00:00,2020-12-31 00:00:00,2021-12-31 00:00:00,2022-12-31 00:00:00,2023-12-31 00:00:00,2024-12-31 00:00:00,2025-12-31 00:00:00,district_code
jAstzBdFXL6,10801 Aatharai Rural Municipality,10801,21562.0,21520.0,21468.0,18211.0,18224.0,17365.0,17365.0,17365.0,108
FBtbgRuKWDU,10802 Phedap Rural Municipality,10802,17447.0,17402.0,17352.0,15236.0,15242.0,14297.0,14297.0,14297.0,108
cp9IiyIrpjA,10803 Menchhayayem Rural Municipality,10803,8041.0,8025.0,8008.0,6698.0,6701.0,6349.0,6349.0,6349.0,108
QBHBAOyZhcm,10804 Myanglung Municipality,10804,20599.0,20582.0,20573.0,19318.0,19261.0,18735.0,18735.0,18735.0,108
LwXIl5HeCi8,10805 Laligurans Municipality,10805,16873.0,16822.0,16774.0,15420.0,15438.0,15418.0,15418.0,15418.0,108
RYci0bt6jLL,10806 Chhathar Rural Municipality,10806,16513.0,16470.0,16422.0,14245.0,14242.0,13415.0,13415.0,13415.0,108
xPU2FhwKsRf,10901 Yangbarak Rural Municipality,10901,18789.0,18830.0,18858.0,16842.0,16923.0,16148.0,16148.0,16148.0,109
CMLxRNQiEuz,10902 Hilihan Rural Municipality,10902,23495.0,23541.0,23583.0,20552.0,20660.0,18298.0,18298.0,18298.0,109
Jit4hXPt6dE,10903 Falelung Rural Municipality,10903,22363.0,22406.0,22449.0,20546.0,20634.0,19308.0,19308.0,19308.0,109
iXFygpFSP55,10904 Phidim Municipality,10904,52008.0,52155.0,52316.0,49892.0,49818.0,48725.0,48725.0,48725.0,109
YubZ3SsXpMk,10905 Falgunanda Rural Municipality,10905,24756.0,24809.0,24853.0,21266.0,21350.0,20424.0,20424.0,20424.0,109
zLYAl5X1IrN,10906 Kummayak Rural Municipality,10906,16367.0,16395.0,16418.0,13026.0,13067.0,12112.0,12112.0,12112.0,109
f7uSgiSErsd,10907 Tumbewa Rural Municipality,10907,13575.0,13586.0,13593.0,11068.0,11110.0,10775.0,10775.0,10775.0,109
rTNYEQ9kpvZ,10908 Miklajung Rural Municipality,10908,25113.0,25156.0,25202.0,21343.0,21418.0,20209.0,20209.0,20209.0,109
fI2CEJPXuMR,11001 Mai Jogmai Rural Municipality,11001,22349.0,22520.0,22686.0,19333.0,19574.0,18181.0,18181.0,18181.0,110
dVjrEKQVAjU,11002 Sandakpur Rural Municipality,11002,17022.0,17157.0,17288.0,15490.0,15680.0,14831.0,14831.0,14831.0,110
Fg5SMJO2RrG,11003 Ilam Municipality,11003,52675.0,53092.0,53522.0,50565.0,51244.0,50685.0,50685.0,50685.0,110
Tj17nxdNb83,11004 Deumai Municipality,11004,34918.0,35161.0,35396.0,31599.0,32020.0,30875.0,30875.0,30875.0,110
DlmjnZcEmaW,11005 Fakfokathum Rural Municipality,11005,22947.0,23081.0,23215.0,20049.0,20340.0,18890.0,18890.0,18890.0,110
vRXbpkNHDuC,11006 Mangsebung Rural Municipality,11006,19725.0,19840.0,19955.0,16938.0,17205.0,16104.0,16104.0,16104.0,110
BkH14jmtBEy,11007 Chulachuli Rural Municipality,11007,22947.0,23117.0,23285.0,22922.0,23248.0,22659.0,22659.0,22659.0,110
v6VtFYe7zjn,11008 Mai Municipality,11008,35353.0,35587.0,35814.0,31116.0,31590.0,31282.0,31282.0,31282.0,110
wYQGR7E6qQA,11009 Suryodaya Municipality,11009,60486.0,60997.0,61509.0,55565.0,56244.0,54539.0,54539.0,54539.0,110
IDp6QAC1Prv,11010 Rong Rural Municipality,11010,20246.0,20392.0,20538.0,17593.0,17818.0,16670.0,16670.0,16670.0,110
afoMvFV0IvH,11101 Mechinagar Municipality,11101,126359.0,128213.0,130089.0,131826.0,133753.0,135424.0,135424.0,135424.0,111
h4TMwE2Cx5p,11102 Buddhashanti Rural Municipality,11102,46434.0,47091.0,47753.0,53028.0,53759.0,54293.0,54293.0,54293.0,111
lD1jHXyxn8Z,11103 Arjundhara Municipality,11103,67590.0,68550.0,69508.0,84622.0,85824.0,86785.0,86785.0,86785.0,111
BSlmdVvEkUs,11104 Kankai Municipality,11104,44950.0,45579.0,46213.0,53215.0,53992.0,54285.0,54285.0,54285.0,111
RffL3O64yhC,11105 Shivasatakshi Municipality,11105,72121.0,73118.0,74121.0,73630.0,74682.0,76071.0,76071.0,76071.0,111
EPL0DIwxK38,11106 Kamal Rural Municipality,11106,49931.0,50666.0,51398.0,53834.0,54600.0,54830.0,54830.0,54830.0,111
LgUWza3LscP,11107 Damak Municipality,11107,84873.0,86096.0,87340.0,107667.0,109277.0,111781.0,111781.0,111781.0,111
